    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
9160 | 2870             2871 5.028e-05 |
9180 | 2874             2875 5.054e-05 |
9200 | 2884             2885 5.054e-05 |
9220 | 2888             2889 5.027e-05 |
9240 | 2894             2895 5.042e-05 |
9260 | 2902             2903 5.085e-05 |
9280 | 2907             2908 5.107e-05 |
9300 | 2915             2916 5.071e-05 |
9320 | 2922             2923 5.136e-05 |
9340 | 2926             2927 5.086e-05 |
9360 | 2934             2935 5.148e-05 |
9380 | 2940             2941 5.145e-05 |
9400 | 2944             2945 5.212e-05 |
9420 | 2951             2952 5.180e-05 |
9440 | 2958             2959 5.236e-05 |
9460 | 2962             2963 5.161e-05 |
9480 | 2969             2970 5.195e-05 |
9500 | 2977             2978 5.219e-05 |
9520 | 2983             2984 5.213e-05 |
9540 | 2991             2992 5.240e-05 |
9560 | 2995             2996 5.231e-05 |
9580 | 3000             3001 5.293e-05 |
9600 | 3009             3010 5.276e-05 |
9620 | 3014             3015 5.302e-05 |
9640 | 3019             3020 5.254e-05 |
9660 | 3028             3029 5.366e-05 |
9680 | 3033             3034 5.304e-05 |
9700 | 3039             3040 5.550e-05 |
9720 | 3047             3048 5.296e-05 |
9740 | 3052             3053 5.400e-05 |
9760 | 3060             3061 5.349e-05 |
9780 | 3065             3066 5.426e-05 |
9800 | 3070             3071 5.360e-05 |
9820 | 3077             3078 5.445e-05 |
9840 | 3084             3085 5.362e-05 |
9860 | 3088             3089 5.418e-05 |
9880 | 3096             3097 5.470e-05 |
9900 | 3103             3104 5.480e-05 |
9920 | 3108             3109 5.396e-05 |
9940 | 3118             3119 5.510e-05 |
9960 | 3123             3124 5.494e-05 |
9980 | 3128             3129 5.551e-05 |
10000 | 3136             3137 5.484e-05 |
10020 | 3140             3141 5.525e-05 |
10040 | 3146             3147 5.470e-05 |
10060 | 3155             3156 5.565e-05 |
10080 | 3159             3160 5.496e-05 |
10100 | 3165             3166 5.643e-05 |
10120 | 3173             3174 5.552e-05 |
10140 | 3178             3179 5.559e-05 |
10160 | 3186             3187 5.534e-05 |
10180 | 3191             3192 5.592e-05 |
10200 | 3195             3196 5.572e-05 |
10220 | 3203             3204 5.617e-05 |
10240 | 3210             3211 5.575e-05 |
10260 | 3213             3214 5.687e-05 |
10280 | 3223             3224 5.603e-05 |
10300 | 3228             3229 5.655e-05 |
10320 | 3232             3233 5.645e-05 |
10340 | 3240             3241 5.673e-05 |
10360 | 3246             3247 5.750e-04 |
10380 | 3252             3253 5.930e-05 |
10400 | 3260             3261 6.001e-05 |
10420 | 3265             3266 5.665e-05 |
10440 | 3270             3271 5.740e-05 |
10460 | 3279             3280 5.700e-05 |
10480 | 3283             3284 5.693e-05 |
10500 | 3289             3290 5.728e-05 |
